ID;ILLUM;HUMID;CO2;SOUND;TEMP;RYTHM
536;594.8;66.93;496.41;34.37;20.57;75.36
537;499.56;67.44;486.69;27.0;23.84;90.3
538;419.38;66.61;502.2;32.37;20.31;86.09
539;465.27;68.96;463.3;22.58;20.33;76.4
540;517.23;71.16;513.32;17.69;20.06;80.0
541;294.52;68.11;470.2;35.44;18.64;73.81
542;547.15;65.45;517.17;27.17;21.97;86.51
543;440.29;72.26;463.42;32.48;20.75;81.28
544;311.27;61.24;548.84;25.55;18.12;81.21
545;457.28;66.3;491.96;30.59;17.54;73.6
546;385.01;71.61;506.24;29.88;21.97;81.88
547;406.12;60.42;423.24;31.29;21.52;71.37
548;433.51;73.0;515.67;29.38;21.68;74.28
549;416.07;58.0;476.31;33.9;22.12;90.23
550;289.71;71.02;497.07;29.8;21.46;77.63
551;448.1;56.41;509.27;29.76;21.24;83.68
552;534.35;66.76;537.34;41.13;20.1;102.45
553;427.45;57.11;452.9;42.55;20.29;77.59
554;432.84;71.14;466.33;18.38;21.14;73.22
555;280.55;67.65;514.73;32.99;21.67;82.6
556;542.27;64.98;444.99;31.26;20.39;72.81
557;565.67;68.46;473.53;31.42;18.52;77.27
558;469.18;62.48;462.61;39.06;21.14;85.57
559;451.17;68.08;429.59;38.97;21.58;77.57
560;471.88;70.24;488.94;29.9;18.96;81.25
561;388.1;62.17;483.74;28.26;21.44;80.21
562;389.06;65.94;502.01;37.96;22.48;95.23
563;436.98;62.94;569.69;39.76;19.07;86.82
564;398.2;70.34;497.8;38.38;22.92;80.88
565;386.66;63.86;509.32;36.72;21.09;83.69
566;360.61;64.29;508.14;23.9;20.51;90.77
567;415.71;64.23;548.66;34.54;18.55;84.3
568;303.71;69.5;541.85;21.12;18.07;78.69
569;326.79;62.28;577.04;22.49;19.24;77.36
570;237.49;64.6;445.32;36.1;19.66;67.23
571;381.54;63.58;485.42;27.37;18.49;73.65
572;288.12;58.63;510.07;25.67;19.33;82.23
573;729.82;67.71;551.93;31.16;20.23;80.05
574;565.43;77.07;475.68;32.24;19.23;74.69
575;533.3;75.24;550.25;30.37;18.36;91.31
576;539.54;71.22;450.27;23.77;20.41;79.59
577;430.39;80.28;517.75;24.65;17.79;78.05
578;394.08;74.46;507.4;24.06;18.48;71.12
579;358.52;62.96;561.01;39.69;21.32;82.03
580;470.49;67.51;475.79;36.08;21.79;82.03
581;387.89;69.87;557.3;31.85;19.75;78.12
582;397.16;64.85;490.75;26.08;18.95;65.0
583;477.69;67.92;495.84;35.32;18.17;80.21
584;350.67;54.81;494.03;37.21;17.76;85.41
585;492.43;67.53;469.5;35.93;17.87;79.64
586;478.29;70.75;525.11;25.95;19.56;80.16
587;356.96;69.18;462.07;32.25;20.5;84.87
588;460.59;72.11;526.71;34.06;18.8;87.67
589;459.7;67.27;577.61;27.22;18.95;96.6
590;468.63;73.77;473.18;32.34;19.22;78.5
591;536.91;67.5;474.85;18.28;21.36;71.61
592;303.02;64.57;556.07;34.4;21.46;89.44
593;503.83;70.25;544.53;31.24;17.94;86.39
594;361.37;64.8;471.33;21.73;24.61;77.11
595;356.67;59.46;499.66;36.98;18.78;84.42
596;506.82;68.32;560.98;29.11;20.54;80.93
597;337.37;61.88;452.74;24.96;19.37;73.56
598;507.37;67.05;536.8;28.82;16.85;67.28
599;493.18;63.46;492.9;27.61;20.7;77.85
600;202.6;57.45;505.24;32.07;22.91;86.28
601;311.62;64.94;483.16;26.75;19.64;82.34
602;441.99;69.55;484.67;31.35;21.76;88.61
603;491.03;68.49;571.91;27.9;21.64;83.96
604;499.44;71.78;543.88;25.57;21.67;85.85
605;632.2;66.17;505.19;32.51;21.47;82.6
606;466.25;59.0;510.28;28.6;23.11;85.59
607;418.4;74.63;469.47;22.58;21.71;81.07
608;430.89;67.58;436.77;35.56;19.14;70.45
609;497.7;65.94;525.39;40.71;19.29;87.86
610;525.3;65.36;470.36;23.49;22.93;80.7
611;592.37;58.37;495.67;33.62;21.37;85.12
612;377.9;64.66;559.78;40.33;21.23;93.49
613;547.83;64.42;509.62;32.26;18.65;82.67
614;534.04;63.59;495.43;42.34;17.76;81.22
615;371.25;58.63;428.71;36.44;19.53;78.09
616;439.72;67.14;427.08;25.11;19.35;65.88
617;473.51;70.32;516.12;15.47;17.06;79.0
618;384.86;67.52;489.81;30.75;19.45;72.19
619;366.58;69.19;527.9;16.16;19.25;77.9
620;457.43;72.44;511.29;24.83;19.43;73.18
621;439.03;63.46;473.62;32.02;23.14;86.27
622;334.32;60.88;471.44;28.92;19.63;71.53
623;540.74;74.01;549.38;25.53;18.61;83.18
624;445.59;77.14;392.87;33.13;18.64;63.93
625;287.25;62.29;498.52;45.95;17.5;77.03
626;556.89;61.01;532.88;29.98;19.8;82.41
627;333.29;75.49;461.85;30.88;21.29;82.84
628;460.24;69.41;466.02;30.41;22.49;85.34
629;447.41;73.27;559.4;28.74;23.35;80.2
630;423.68;70.63;518.87;32.71;21.56;74.08
631;565.8;59.37;507.37;33.4;21.13;83.4
632;360.94;71.65;489.47;32.41;18.82;83.88
633;556.86;72.43;545.42;32.85;18.66;75.08
634;439.83;71.57;465.63;28.49;20.03;77.53
635;497.97;71.76;543.16;37.47;19.14;91.37
636;448.67;69.15;541.26;33.93;20.87;91.14
637;573.69;69.02;478.96;25.54;20.01;80.1
638;461.09;69.48;532.64;27.04;21.5;89.77
639;419.9;74.17;514.66;23.95;17.84;77.64
640;477.94;64.18;590.0;27.86;20.83;81.9
641;372.3;73.48;533.2;35.03;18.03;77.45
642;369.51;74.98;506.56;28.0;20.25;79.55
643;387.51;63.33;506.68;30.22;21.98;88.63
644;429.79;73.65;460.94;33.83;21.49;76.27
645;399.58;59.77;466.82;28.43;19.33;81.5
646;382.94;68.49;524.83;31.2;16.64;73.84
647;638.82;69.31;511.03;35.06;19.95;76.14
648;514.54;67.99;424.09;21.38;20.21;77.69
649;369.22;70.39;559.25;23.71;20.88;85.85
650;305.16;67.03;524.72;25.22;23.11;75.76
651;495.85;61.65;499.69;44.02;22.57;85.61
652;374.23;64.33;552.68;40.1;21.73;80.02
653;332.75;65.29;560.0;30.09;18.7;85.85
654;643.39;63.73;460.77;33.18;18.98;77.8
655;319.89;78.99;520.21;38.05;20.19;82.97
656;429.49;58.21;596.59;27.91;19.79;80.8
657;563.32;72.14;531.62;27.03;19.7;82.21
658;482.24;65.49;490.44;44.7;19.78;108.9
659;343.56;68.14;470.19;19.02;18.62;79.17
660;510.88;71.26;485.05;29.57;18.75;85.48
661;426.05;68.54;565.72;21.56;19.15;84.0
662;597.29;65.78;419.07;26.94;20.1;79.81
663;318.81;66.86;526.35;35.48;20.66;81.28
664;460.13;64.84;483.53;26.33;17.81;74.62
665;470.46;70.76;489.51;32.65;18.36;81.18
666;584.44;58.25;537.87;24.38;21.79;86.97
667;488.75;65.97;441.05;38.71;20.56;63.36
668;384.06;64.19;454.92;17.83;23.41;78.54
669;461.75;62.94;481.67;24.98;21.89;79.44
670;307.92;68.76;502.08;32.09;17.43;73.59
671;437.47;60.68;504.22;36.93;21.74;85.97
672;343.72;65.22;449.88;39.24;19.76;75.01
673;333.84;66.37;515.1;17.86;20.81;76.4
674;431.04;77.89;546.19;11.89;21.06;86.49
675;359.17;63.97;495.71;34.62;20.62;91.14
676;352.92;66.36;523.19;36.8;17.89;80.66
677;394.63;61.64;481.93;25.83;19.68;69.98
678;481.14;67.98;488.87;32.67;18.1;82.65
679;462.83;65.48;485.79;34.52;17.47;81.7
680;352.7;66.21;544.98;37.09;22.94;91.61
681;354.57;72.14;503.9;34.27;17.59;73.66
682;328.46;68.75;513.62;23.73;17.67;74.81
683;514.3;68.84;592.75;31.88;18.66;82.3
684;374.42;73.26;573.54;22.04;18.54;75.87
685;478.63;64.19;496.11;30.38;19.27;81.14
686;678.42;64.44;497.44;25.01;20.3;84.21
687;431.9;67.57;558.6;19.93;20.16;72.19
688;352.29;68.65;488.05;21.31;19.22;76.67
689;546.51;58.43;440.56;43.66;16.78;79.22
690;481.63;69.15;511.14;28.66;17.28;84.43
691;596.1;66.7;511.21;12.5;19.75;86.96
692;298.37;65.57;595.66;36.56;17.64;76.02
693;436.11;61.33;589.22;35.63;21.75;93.1
694;411.91;70.53;530.13;35.44;16.89;79.54
695;401.96;59.07;519.58;38.58;17.42;84.56
696;429.8;65.97;461.68;32.47;18.74;98.02
697;344.45;58.47;448.17;37.69;20.41;73.9
698;464.02;72.88;524.62;24.97;20.72;89.98
699;477.38;69.62;499.11;22.18;20.27;72.61
700;485.67;63.79;550.48;39.93;20.75;92.43
701;416.98;70.74;479.28;27.25;20.31;76.55
702;417.87;77.98;581.39;8.06;22.63;79.16
703;316.83;70.62;506.01;34.06;19.02;76.34
704;402.61;69.39;461.82;26.47;18.27;80.67
705;359.58;61.43;465.88;33.74;19.4;79.95
706;477.92;68.63;432.4;24.99;19.75;81.91
707;505.18;73.61;558.0;19.06;20.39;81.62
708;529.04;59.61;468.55;19.99;20.3;76.54
709;376.64;68.14;516.39;30.15;20.46;71.79
710;311.07;65.52;590.43;37.97;19.34;90.11
711;517.59;73.69;485.79;36.22;16.83;84.49
712;436.45;68.6;518.28;29.69;16.79;77.66
713;425.25;64.32;482.43;42.17;23.22;82.58
714;407.92;66.92;529.58;29.11;20.05;91.12
715;357.17;67.27;526.68;36.0;17.3;71.48
716;496.68;69.24;460.45;30.44;20.48;83.54
717;382.15;71.3;513.46;32.41;20.87;78.67
718;259.69;62.77;558.89;29.23;22.85;84.79
719;395.42;63.84;458.37;25.84;21.12;83.03
720;370.68;62.98;468.12;34.75;17.97;90.17
721;416.12;66.81;478.22;22.38;18.77;76.91
722;504.91;65.44;502.6;23.69;19.48;87.34
723;490.8;60.72;488.19;33.73;23.6;86.66
724;431.86;69.05;502.62;22.53;17.18;85.01
725;488.03;59.83;452.05;32.76;21.85;87.98
726;555.54;58.34;489.31;31.94;20.38;81.92
727;279.06;70.65;472.67;21.4;23.43;72.25
728;529.21;68.55;503.13;36.87;20.04;84.54
729;352.09;73.0;456.81;31.67;19.66;73.53
730;524.56;62.16;474.66;23.44;19.83;87.08
731;417.88;71.95;459.31;24.79;17.44;74.37
732;296.96;64.38;551.76;26.54;18.58;79.75
733;459.37;69.71;532.24;25.13;16.91;82.54
734;440.05;66.83;466.6;32.93;17.39;81.31
735;483.61;63.79;507.22;25.79;19.4;74.31
736;462.64;66.4;508.27;31.9;20.03;73.23
737;213.37;77.13;459.77;30.19;22.2;64.97
738;323.0;71.39;532.13;28.14;22.1;79.48
739;541.52;65.68;479.03;39.14;19.26;87.58
740;424.45;75.47;609.46;30.1;20.64;83.42
741;317.06;61.44;515.25;38.29;22.3;94.23
742;454.47;59.9;524.29;32.03;19.87;83.72
743;702.57;64.76;426.43;41.73;20.02;84.68
744;402.66;60.97;563.9;26.82;19.05;68.57
745;405.79;66.08;533.52;22.43;18.65;82.41
746;403.76;69.95;508.16;24.96;19.5;82.25
747;314.91;64.44;535.14;38.34;20.64;96.91
748;333.51;71.91;529.79;23.52;20.54;82.38
749;365.65;72.69;529.67;36.92;19.55;92.29
750;321.22;64.66;450.3;37.37;21.76;84.07
751;436.73;71.99;448.57;30.19;18.96;91.29
752;429.9;67.58;407.86;29.1;19.67;81.63
753;393.26;70.69;437.05;31.16;19.12;70.33
754;338.2;61.93;535.97;26.8;18.83;76.21
755;383.09;72.26;548.79;28.5;19.49;93.08
756;503.42;66.95;470.67;33.07;17.58;67.53
757;291.6;77.73;525.54;30.17;21.04;78.61
758;383.99;63.65;535.27;28.67;18.11;71.89
759;409.14;71.47;498.38;26.22;19.42;67.21
760;528.83;63.6;526.8;24.96;20.06;85.98
761;404.62;66.27;513.23;40.95;18.38;79.31
762;430.51;62.39;456.91;37.71;23.24;81.02
763;488.3;73.3;434.2;35.39;18.94;69.0
764;529.71;68.55;501.12;35.82;21.08;98.98
765;641.32;65.93;457.06;40.53;18.56;87.73
766;549.32;68.04;522.37;34.2;21.63;78.09
767;409.14;69.29;466.88;32.24;19.77;79.27
768;438.77;69.11;554.09;30.09;18.6;83.83
769;411.42;64.31;475.35;25.57;21.36;79.2
770;627.76;67.94;542.69;30.07;18.54;79.66
771;384.08;70.26;501.43;20.35;20.28;80.75
772;479.34;60.64;495.06;30.48;24.04;76.36
773;542.2;73.02;394.17;32.23;19.85;77.74
774;381.81;66.62;517.36;36.27;18.89;73.43
775;364.44;70.54;540.2;27.71;21.81;86.25
776;280.02;65.86;446.89;29.41;23.54;86.03
777;433.4;65.05;513.5;34.53;17.93;76.74
778;363.81;64.94;423.44;24.64;18.7;73.03
779;424.27;58.03;509.0;22.47;20.06;77.96
780;442.57;67.14;505.62;39.41;19.47;89.86
781;364.68;74.39;564.48;30.5;23.24;91.35
782;577.41;67.84;400.13;23.11;20.04;66.01
783;418.96;65.69;523.89;33.48;23.14;79.46
784;531.2;61.49;500.21;38.86;20.34;81.53
785;492.49;61.9;457.93;41.63;22.1;78.14
786;553.6;64.11;389.97;40.91;21.62;86.97
787;414.63;54.06;399.88;41.31;21.23;71.29
788;539.95;67.43;537.55;34.18;19.08;75.46
789;384.99;67.26;462.04;21.68;24.16;86.52
790;589.65;70.85;563.01;23.5;22.61;87.37
791;407.55;68.65;526.07;29.01;19.31;81.66
792;473.08;71.09;576.31;25.31;19.97;87.29
793;387.79;68.36;470.17;32.95;22.54;80.11
794;505.65;71.39;563.79;29.96;20.9;90.33
795;530.81;73.78;519.52;26.78;20.25;81.24
796;473.18;58.09;496.9;26.83;19.1;80.93
797;516.65;60.72;457.22;33.4;16.33;86.71
798;364.28;66.8;524.19;28.95;17.98;77.24
799;351.44;65.82;439.55;33.8;21.45;72.76
800;427.52;69.03;600.3;31.34;21.12;86.92
801;217.51;58.55;516.38;44.75;21.58;72.67
802;418.61;62.14;477.81;29.51;20.44;82.24
803;532.18;64.52;492.19;30.55;19.67;87.8
804;534.61;65.48;504.52;32.39;19.84;80.47
805;328.57;69.06;536.34;30.86;18.07;75.14
806;420.07;73.35;513.38;25.06;19.87;84.41
807;372.12;59.4;444.52;37.05;21.2;77.12
808;426.28;66.13;543.2;27.41;20.06;77.45
809;443.95;68.62;511.78;26.62;20.37;66.74
810;481.45;71.2;439.71;27.6;19.9;88.8
811;475.22;58.43;540.51;33.21;22.97;83.13
812;509.52;61.99;541.72;39.22;22.15;94.0
813;453.54;71.44;485.82;29.62;17.38;72.99
814;555.46;58.15;433.38;32.41;19.75;72.83
815;374.21;64.21;451.94;26.45;21.55;86.97
816;547.63;72.35;509.74;25.55;19.84;87.46
817;421.79;67.12;580.87;38.27;21.59;92.9
818;522.2;62.62;478.08;38.64;20.1;83.54
819;441.83;59.03;499.05;24.33;21.17;77.26
820;551.74;71.14;504.63;31.38;18.41;91.07
821;435.43;79.24;553.79;29.44;18.4;81.32
822;368.89;60.4;429.6;32.56;20.14;77.5
823;205.73;61.86;449.34;30.13;19.45;80.25
824;463.7;62.23;509.83;28.56;18.76;68.72
825;213.16;69.4;606.1;21.2;21.49;85.55
826;462.41;68.78;507.62;32.34;21.41;95.05
827;435.05;68.16;489.32;30.02;19.21;76.07
828;522.47;72.57;461.43;14.14;22.07;84.86
829;465.09;59.48;461.92;42.43;19.66;78.01
830;389.43;63.77;559.15;36.32;20.36;80.28
831;381.73;65.44;526.65;31.95;19.21;79.28
832;551.68;63.37;478.32;31.78;21.56;82.85
833;509.44;62.6;475.64;35.75;19.36;90.23
834;419.74;62.24;517.89;33.64;21.75;87.79
835;575.6;68.33;556.02;31.98;16.6;70.74
836;515.94;63.37;459.78;31.59;22.56;86.33
837;400.39;69.17;475.57;26.13;20.53;81.11
838;368.95;68.5;632.16;35.13;17.85;83.3
839;610.1;68.32;510.26;23.72;21.15;73.74
840;428.73;73.53;535.81;22.45;18.19;82.48
841;419.09;62.21;508.16;31.8;20.1;90.5
842;572.74;78.24;518.71;24.86;19.22;80.83
843;346.48;65.21;455.35;27.06;19.07;71.25
844;459.33;74.11;506.71;33.23;18.25;78.47
845;366.67;65.03;533.61;33.48;19.36;77.04
846;484.05;68.94;422.03;31.27;20.24;82.34
847;497.24;67.85;529.78;24.17;22.32;80.42
848;377.61;71.59;558.49;32.0;20.55;78.86
849;313.63;70.14;554.03;19.86;19.12;65.83
850;320.38;66.13;486.47;25.57;19.41;81.55
851;407.92;70.53;416.49;36.34;17.0;64.06
852;411.43;66.43;577.31;40.31;19.68;91.73
853;455.4;72.64;527.6;40.18;17.46;76.34
854;417.37;70.98;528.17;32.27;19.89;87.88
855;376.5;59.04;445.96;34.01;21.76;80.98
856;507.15;60.99;565.91;38.39;19.65;92.62
857;227.06;66.21;430.21;28.03;20.39;85.83
858;538.5;65.25;552.56;33.67;19.24;76.85
859;510.01;69.85;490.83;30.91;19.68;83.32
860;662.85;70.93;565.44;37.36;17.69;80.48
861;267.77;66.5;510.21;21.81;20.94;66.96
862;523.56;76.83;476.52;43.31;18.96;71.08
863;430.32;66.13;533.84;30.48;21.6;87.23
864;491.56;72.97;424.36;12.9;21.17;69.83
865;385.23;70.65;540.85;29.32;20.06;79.31
866;529.97;61.56;453.43;21.37;20.46;77.53
867;481.39;65.29;486.54;36.72;22.39;72.9
868;319.44;68.34;606.46;37.36;18.18;80.62
869;612.77;62.45;484.82;34.43;19.02;76.65
870;298.94;71.48;556.75;30.27;17.65;76.21
871;375.71;63.79;462.62;31.12;20.78;82.27
872;326.86;72.01;512.04;24.35;21.36;80.62
873;573.76;65.29;513.49;33.94;18.28;65.83
874;519.76;65.84;532.71;25.28;18.15;81.7
875;432.61;70.69;476.28;26.33;20.17;68.63
876;465.9;71.26;430.92;33.85;18.83;73.07
877;603.9;64.1;445.79;34.47;24.3;93.42
878;353.45;63.0;506.81;33.19;22.41;86.31
879;515.58;63.07;531.82;30.55;20.03;84.21
880;452.99;58.67;497.79;30.19;19.51;79.94
881;469.24;61.71;474.28;36.89;21.5;82.91
882;458.66;65.49;462.06;37.68;18.75;72.07
883;392.65;64.13;550.13;26.49;19.13;79.46
884;237.95;54.69;456.61;37.33;20.4;72.82
885;422.67;62.6;485.35;29.3;19.45;77.57
886;391.69;61.59;548.2;32.47;21.42;81.78
887;389.44;63.28;503.41;32.78;23.49;84.01
888;543.92;62.8;580.74;23.32;20.13;77.59
889;336.27;64.06;567.36;27.3;20.8;89.08
890;624.03;73.87;512.5;20.5;20.38;76.56
891;416.44;71.16;533.49;27.44;20.01;92.89
892;530.18;67.29;495.95;25.5;18.88;71.06
893;399.4;70.24;455.46;30.18;19.77;82.83
894;420.94;63.16;512.27;30.73;19.98;77.83
895;281.56;61.45;515.08;30.24;18.95;78.33
896;482.57;65.99;485.8;21.06;17.87;72.01
897;427.83;67.19;506.75;25.34;18.02;71.59
898;343.68;64.76;596.21;26.5;21.06;85.22
899;521.54;72.57;481.45;25.53;19.8;77.57
900;491.6;68.71;533.05;40.4;19.2;78.87
901;389.2;60.29;492.49;36.68;19.63;78.27
902;562.82;66.43;439.65;29.66;17.76;91.18
903;464.58;69.35;496.33;32.83;16.5;81.19
904;399.69;67.13;505.18;40.06;19.68;74.39
905;442.46;65.37;549.44;25.52;16.95;75.69
906;482.83;67.55;513.98;30.8;21.46;83.33
907;496.12;65.37;448.37;13.95;22.11;78.5
908;483.03;60.45;547.62;33.09;19.31;84.72
909;359.03;71.21;493.73;32.08;20.44;75.1
910;619.22;70.55;456.73;37.55;17.94;77.23
911;433.04;59.75;512.28;27.47;20.53;81.49
912;521.74;70.5;514.64;33.17;20.05;81.4
913;358.71;70.67;608.31;29.71;19.16;88.75
914;507.94;64.62;402.18;23.61;19.56;76.06
915;471.82;62.4;548.13;28.2;22.34;86.6
916;609.86;69.41;408.11;29.0;16.85;83.5
917;433.74;74.74;528.41;22.31;18.51;70.87
918;447.59;75.91;518.58;30.63;16.3;66.0
919;353.38;67.89;499.98;27.11;21.67;77.59
920;294.23;63.01;538.23;26.87;20.52;77.44
921;485.88;71.87;544.06;30.45;20.06;77.09
922;259.4;69.44;502.74;32.6;18.73;81.33
923;420.56;65.08;476.91;32.6;18.14;94.25
924;483.11;62.18;401.9;21.29;21.8;67.88
925;323.35;68.98;505.87;27.38;17.51;75.9
926;498.64;73.49;479.63;29.71;21.28;77.77
927;630.51;66.04;446.1;32.68;19.2;76.15
928;536.35;73.9;486.15;23.11;20.1;88.52
929;322.09;69.27;478.88;33.53;20.07;76.06
930;647.91;72.27;447.88;31.83;21.31;80.93
931;538.69;65.65;443.84;34.73;20.4;88.57
932;321.7;63.49;485.75;32.45;19.4;73.1
933;359.33;64.95;637.1;19.07;22.91;92.52
934;476.23;70.63;469.45;32.44;21.5;78.73
935;578.75;63.48;466.15;20.27;22.0;86.95
936;536.2;67.46;530.48;17.96;20.47;75.38
937;402.74;66.95;474.54;34.13;19.16;78.01
938;485.36;69.31;514.5;32.39;21.54;89.59
939;348.92;70.69;490.94;30.69;21.11;73.88
940;333.46;63.07;533.51;33.92;20.69;77.91
941;443.53;65.43;508.36;31.18;19.25;74.8
942;473.17;66.23;495.04;29.31;20.52;71.3
943;501.88;79.1;551.47;22.88;19.57;83.33
944;484.04;58.96;477.61;33.41;20.32;77.32
945;584.42;67.73;514.98;28.55;18.53;74.58
946;461.03;71.33;501.18;30.5;18.66;77.36
947;550.79;61.97;514.31;30.82;20.63;77.73
948;602.54;64.81;475.64;33.37;18.01;82.67
949;433.83;61.06;548.33;29.75;21.48;90.92
950;316.98;66.24;550.63;23.43;22.25;79.43
951;318.58;61.44;464.87;33.27;19.47;74.24
952;567.81;61.42;451.34;30.06;19.8;75.03
953;450.53;60.6;352.82;11.43;23.14;61.37
954;518.19;61.09;501.6;24.63;20.16;85.37
955;490.15;69.08;469.21;30.17;18.77;82.19
956;589.42;64.83;509.66;38.46;17.68;79.48
957;388.37;66.24;501.18;43.5;22.04;77.51
958;502.21;69.09;463.35;23.29;20.85;67.96
959;491.32;64.22;456.33;29.8;19.6;82.74
960;442.88;71.37;528.39;27.93;22.23;91.09
961;548.85;68.52;616.36;41.38;19.47;97.77
962;549.18;68.74;501.6;22.8;22.04;83.09
963;442.42;62.94;494.39;33.73;19.73;83.24
964;374.27;65.27;526.41;20.26;20.86;86.33
965;467.41;61.92;435.8;28.77;21.73;80.77
966;303.97;66.4;529.81;26.96;23.52;83.18
967;520.82;76.51;534.9;37.29;17.9;91.47
968;530.32;65.47;530.13;33.29;21.03;82.75
969;378.72;68.61;504.66;26.18;20.02;85.54
970;460.57;69.99;463.43;35.01;20.27;85.79
971;579.83;75.16;471.87;24.72;19.87;87.06
972;587.34;67.6;511.69;38.29;19.98;79.75
973;482.22;69.13;524.56;20.81;21.27;92.66
974;611.83;68.8;555.92;27.88;16.95;83.64
975;439.9;61.7;552.98;37.02;19.79;78.78
976;446.0;73.31;536.14;28.38;20.14;81.58
977;409.37;63.16;505.22;23.43;18.86;71.62
978;333.64;75.76;503.14;27.52;21.26;84.44
979;429.73;67.55;538.2;33.61;22.23;86.45
980;428.06;70.63;385.3;17.18;22.25;81.14
981;364.99;68.32;562.67;18.43;21.45;85.61
982;615.01;66.9;458.88;31.63;19.64;75.38
983;506.16;62.36;590.49;26.4;20.74;93.11
984;443.3;70.71;469.84;20.7;20.23;71.67
985;440.77;64.55;475.79;29.05;21.16;72.97
986;331.68;68.38;505.28;32.51;18.88;78.41
987;430.56;68.23;504.99;23.89;19.11;77.16
988;145.48;68.77;606.13;28.03;22.56;77.18
989;338.38;61.46;492.84;53.78;18.62;89.59
990;475.35;70.68;521.47;19.89;21.43;77.15
991;375.32;59.61;437.07;20.35;20.63;73.17
992;445.25;69.41;512.03;31.34;20.39;86.09
993;384.19;54.52;486.06;34.48;24.78;95.18
994;493.98;63.04;509.55;30.82;19.43;75.94
995;532.53;66.5;476.49;33.11;19.08;83.42
996;286.98;68.42;483.43;30.56;18.84;77.02
997;505.55;59.72;441.51;26.4;23.72;85.34
998;425.51;56.71;464.19;38.18;21.11;73.8
999;458.67;73.17;497.05;19.0;21.54;91.36
1000;533.89;68.61;451.33;30.71;20.47;85.67
1001;468.29;70.9;505.56;14.38;21.88;80.03
1002;506.17;67.49;538.96;36.22;17.78;81.35
1003;482.11;64.84;564.97;25.13;23.23;91.75
1004;535.73;63.33;506.44;34.78;21.89;88.93
1005;398.07;75.62;527.1;24.96;22.05;90.99
1006;601.62;71.26;461.13;22.06;18.85;76.5
1007;511.24;64.18;447.52;24.27;21.89;73.0
1008;364.42;66.81;569.31;27.17;20.85;89.33
1009;430.52;65.23;502.05;24.71;18.81;84.45
1010;310.08;65.39;518.79;38.9;20.52;88.8
1011;503.54;76.12;507.71;22.05;17.4;63.98
1012;392.34;66.44;506.86;42.42;18.91;73.69
1013;286.96;66.0;449.04;26.89;22.12;81.38
1014;398.45;64.55;485.11;33.84;22.82;79.77
1015;488.53;64.41;503.56;35.78;18.27;72.26
1016;369.14;65.01;505.58;28.55;21.38;83.66
1017;453.93;68.12;477.56;38.73;18.59;83.42
1018;416.87;65.63;543.55;41.77;21.34;83.29
1019;437.55;63.67;519.19;38.13;20.41;89.08
1020;469.83;68.62;530.05;23.9;19.33;73.84
1021;285.03;70.2;470.74;28.71;20.25;71.63
1022;419.46;63.45;515.48;32.8;18.42;75.69
1023;549.59;76.46;586.63;21.13;20.3;88.95
1024;348.81;62.7;464.51;23.11;20.13;69.71
1025;437.78;68.17;479.46;24.61;19.73;74.82
1026;329.12;64.73;457.56;30.42;19.93;80.96
1027;456.32;74.36;504.11;34.0;19.96;80.03
1028;500.42;59.37;497.52;29.92;19.96;83.48
1029;655.04;62.72;496.03;24.31;21.0;77.45
1030;476.97;60.06;497.29;37.59;17.23;77.61
1031;446.36;66.75;444.62;26.46;20.02;76.54
1032;476.26;68.09;520.03;32.67;19.11;80.24
1033;516.25;71.36;478.12;35.36;19.15;77.11
1034;371.32;66.23;437.8;29.78;19.34;81.33
1035;256.21;57.33;562.5;30.81;20.84;73.45
1036;525.91;60.41;499.63;37.13;21.93;76.28
1037;420.06;63.61;461.05;29.49;17.16;70.14
1038;342.39;59.4;515.51;29.29;20.53;90.16
1039;166.78;66.91;554.32;31.74;23.0;80.78
1040;489.43;71.75;495.94;26.14;18.88;80.13
1041;437.71;60.06;508.16;40.62;17.68;71.59
1042;423.06;75.67;517.56;27.37;19.53;85.68
1043;539.14;68.44;471.01;33.23;19.55;74.24
1044;443.06;65.0;473.97;27.85;20.69;71.3
1045;382.42;71.29;494.03;32.69;20.25;80.16
1046;312.19;63.41;496.05;29.02;21.14;75.99
1047;383.7;66.16;527.05;30.61;20.88;88.89
1048;409.94;65.68;475.89;41.95;24.2;90.23
1049;308.23;70.95;444.61;35.15;18.98;77.99
1050;440.21;68.9;538.0;30.76;19.68;77.07
1051;433.87;74.0;476.21;35.24;19.66;83.06
1052;537.92;64.99;489.3;21.42;18.63;73.5
1053;541.9;66.69;572.16;34.35;19.53;98.74
1054;427.61;71.44;526.31;32.77;20.06;88.67
1055;464.98;61.83;480.79;40.29;18.92;73.19
1056;610.4;62.37;479.32;35.24;18.88;84.98
1057;371.75;66.12;497.49;28.82;19.42;76.89
1058;467.85;71.2;456.34;29.39;20.45;72.22
1059;458.72;64.82;442.91;38.9;17.6;80.37
1060;357.15;73.91;475.81;21.87;18.71;71.35
1061;585.37;70.8;561.65;25.52;20.08;87.53
1062;346.14;68.54;513.32;18.98;21.16;79.28
1063;411.35;71.73;478.69;29.1;21.08;88.15
1064;463.24;64.92;577.09;32.9;18.69;83.15
1065;487.33;70.22;530.56;23.66;18.9;85.54
1066;365.37;68.65;471.86;17.34;23.37;84.75
1067;349.16;63.19;524.19;42.92;18.02;84.92
1068;451.72;70.25;539.26;32.09;19.7;75.58
1069;520.73;64.85;523.6;36.29;17.97;86.65
